topic,option
Loops,"All animals must have unique methods for actions like roam(), not realizing that some behaviors can remain generic and be inherited from the superclass"
Methods,All constructors in a subclass must explicitly call a superclass constructor
Control Flow,"All equipment types are valid for EquipmentWithLesson, not understanding the specific valid types"
Exception Handling,"All exceptions in Java are related to division by zero, not realizing the variety of exceptions that can occur"
Methods,All methods in an abstract class must be abstract
Control Flow,"All programming languages are either machine, assembly, or high-level languages, not recognizing the existence of other types like scripting or domain-specific languages"
Methods,All subclasses of Rock must have a constructor that accepts the same parameters as the superclass
Objects & Classes,"An abstract class can be instantiated directly, rather than understanding that it must be subclassed"
Methods,An abstract class cannot have non-abstract methods
Data Types,"An array declared with a superclass type can only hold objects of that exact type, not realizing it can hold any subclass objects"
Data Types,"An interface can contain fields, not realizing it only contains method signatures"
Methods,An object cannot be used until all instance variables are explicitly initialized by the constructor
Data Types,"Arrays can only hold objects of the exact type they are declared with, not realizing they can hold subclasses"
Objects & Classes,"Arrays can only store objects of the same subclass, not understanding that an array of superclass references can hold any subclass objects"
Objects & Classes,"Arrays of superclass references cannot hold subclass references, not realizing that they can hold subclass references regardless of whether the superclass is abstract or concrete"
Loops,"Assigning a new object to a reference variable automatically deletes the old object, rather than simply making it eligible for garbage collection"
Objects & Classes,"Assigning one object variable to another creates a new, independent copy of the object, rather than making both variables refer to the same object"
Misc,"Bits can represent more than two values, not understanding that a bit can only be 0 or 1"
Loops,"Boolean method names must always be phrased as yes/no questions, rather than understanding it as a convention for readability"
Loops,Browsing the Java library source code is necessary for learning Java programming
Control Flow,"Calculating BMI is the only method to determine if someone is overweight or obese, not realizing it's just one of many indicators"
GUI,Changing the WINDOW_WIDTH and WINDOW_HEIGHT constants will automatically adjust the layout and appearance of all components within the window
GUI,"Components added to regions other than the center will not be stretched, but all components are stretched to fill their respective regions"
Exception Handling,"Computers completely eliminated errors in mathematical tables, not realizing that errors can still occur, as evidenced by the Pentium FDIV bug"
Methods,"Creating a subclass object does not involve the execution of the superclass constructor, misunderstanding the order of constructor execution in inheritance"
Data Types,Declaring constants like WINDOW_WIDTH and WINDOW_HEIGHT is unnecessary and that hardcoding values directly into methods is acceptable
Control Flow,"Generalization is only about replacing constants with parameters, without realizing it also involves making code reusable and adaptable to different contexts"
Control Flow,"Having multiple return statements in a method is incorrect or will cause all of them to execute, not understanding that only one return statement is executed based on the conditional logic"
Control Flow,"If a method is overridden in a subclass, the superclass version cannot be accessed"
Control Flow,"If a superclass has a constructor, it automatically gets inherited by the subclass"
Control Flow,"If a superclass has only constructors that require arguments, a subclass can still be instantiated without providing arguments"
Control Flow,"If an object is referenced only by a local variable, it will not be eligible for garbage collection until the method completes, not understanding that once the local variable goes out of scope, the object can be collected"
Control Flow,"If one class has a reference to another, it should extend that class"
Data Types,"IndexOf returns the index of all occurrences of a character, but it only returns the first occurrence"
Methods,"Inheritance automatically includes all fields and methods from the superclass, without needing to explicitly declare or override them in the subclass"
Methods,"Instance variables can be overridden in the same way methods can, rather than being redefined"
Data Types,"Interfaces can contain implemented methods, not realizing that all methods in an interface are abstract and must be implemented by the subclass"
Data Types,"Interfaces can contain method implementations, whereas interfaces can only declare method headers without any implementation"
Control Flow,"Invoking a string method without saving its return value will still modify the string, not understanding that the original string remains unchanged unless the return value is assigned"
Methods,"Method overloading involves polymorphism, when in fact it does not"
Data Types,"Methods in an interface can have implementations, not understanding that they are implicitly public and abstract"
Control Flow,"Objects used as a polymorphic type must come from the same inheritance tree, when using interfaces allows objects from different inheritance trees"
Control Flow,"Once a JDK is installed, the system automatically uses the latest version, not understanding the need to specify the desired JDK version in the PATH"
Methods,"Once a method is called, all its variables are immediately placed on the stack, rather than understanding that they are placed on the stack as the method executes"
Java Versions,"Once the PATH is set, it never needs to be updated, not understanding that it must be changed when updating to a newer JDK version"
Methods,"Only the subclass constructor runs when creating an object, not realizing that all superclass constructors in the hierarchy are invoked"
Control Flow,Overloaded constructors can have the same argument types as long as the parameter variable names are different
Control Flow,"Overriding a method means completely replacing the superclass method, rather than extending or modifying its behavior"
Loops,Placing a class in a package is solely for organizational purposes and not understand its implications for access control and visibility
Objects & Classes,"Polymorphic behavior only applies to related classes, not understanding that it can apply to nonrelated classes as well"
Objects & Classes,"Private data members can be accessed by subclasses, not understanding the concept of encapsulation"
Objects & Classes,"Protected members can be accessed by any class, not just subclasses and the class itself"
Control Flow,"Radio buttons and check boxes generate different types of events when clicked, but both generate action events"
Loops,"Range checking for user input is unnecessary, leading to potential runtime errors or incorrect program behavior"
Data Types,Reversing a string can be done by simply calling a method without understanding the logic behind reversing the characters
JShell & Tools,SetDefaultCloseOperation only hides the window instead of closing the application
GUI,"Setting the size of the window with setSize(WINDOW_WIDTH, WINDOW_HEIGHT) will automatically adjust the layout of components, but layout managers control component placement"
Loops,"Simply declaring a reference like SomeClass someObject; automatically sets aside memory for the object, not realizing that memory is only allocated when using the new keyword"
Methods,"Static methods can be overridden in subclasses, not realizing they are bound to the class, not instances"
Methods,Static methods can override parent class methods
Control Flow,Strings are mutable and can be modified after creation
Objects & Classes,"The 'new' operator creates an object itself, rather than creating a reference to an object"
Loops,"The 'setVisible(true)' method is optional for displaying the window, not realizing that it is necessary to make the window appear"
Loops,"The @Override annotation is necessary for overriding methods, rather than optional"
Loops,"The ActionEvent object itself contains the event information, rather than understanding that it provides methods to access that information"
Loops,"The ActionEvent parameter 'e' is optional in the actionPerformed method, but it is required by the ActionListener interface"
Loops,"The ArrayList methods inherently know about the Dog type, rather than realizing that the type information is used only at compile time for type checking"
Control Flow,"The Color constants (e.g., Color.BLUE, Color.RED) can be used directly as strings or in any context, not understanding they are specific to the Color class"
GUI,"The FlowLayout manager arranges components vertically by default, instead of horizontally"
Loops,"The FlowLayout manager only allows for a fixed gap of five pixels between components, not realizing that this gap can be adjusted"
GUI,"The GridLayout automatically adjusts the number of rows and columns based on the number of components, rather than being explicitly set by the programmer"
Loops,"The JCheckBox components automatically calculate their associated costs, not realizing that the getToppingCost method is responsible for this calculation"
Methods,"The Java API classes, like Color, always have a no-argument constructor available, which is not the case"
Misc,"The Linux operating system is developed by a single organization, not understanding that it's developed by a loosely organized team of volunteers"
Control Flow,"The PATH environment variable needs to be permanently modified to switch between JDK versions, not knowing it can be set temporarily in a Command Prompt window"
Data Types,"The absence of an inner event listener class means that the BagelPanel cannot respond to user interactions, not realizing that the getBagelCost method is used to determine the selected option"
Loops,"The abstract method setPrice() in the Vehicle class can be called directly, not understanding that it must be implemented in a subclass before it can be used"
Loops,The actionPerformed method is automatically called without needing to be explicitly linked to a button or event
Loops,The actionPerformed method is automatically called without registering the ActionListener with a button
Loops,"The address of an object must always be stored in a variable before it can be used, rather than being passed directly to a method"
Control Flow,"The args array is always populated with values, even if no command-line arguments are provided"
Methods,"The call to this() can be placed anywhere in the constructor, but it must be the first statement"
Loops,"The compiler always makes a no-arg constructor for you, regardless of whether you have defined other constructors"
Control Flow,"The compiler checks the actual object type to determine if a method can be called, rather than the reference type"
Methods,"The compiler determines which method version to call at runtime, rather than the JVM"
Java Versions,"The conversion factor should be changed frequently, not understanding the concept of constants"
Loops,"The default output of an object in Java (e.g., Time@80cc7c0) is useful for end-users, not realizing it's mainly for debugging"
Loops,"The default toString() method provides useful information about an object, not understanding that it often only provides a class name and hash code"
Misc,The delivery fee in DeliveryPizza is a fixed value and not dependent on the pizza price
Methods,"The doClick method is only applicable to check boxes, but it can be used with other button-like components as well"
Misc,"The factorial function or power function is necessary to compute terms in a series, not understanding that these can be computed iteratively or recursively without such functions"
Data Types,"The getSelectedValue method always returns a String, but it actually returns an Object that needs to be cast to the appropriate type"
Control Flow,"The hashCode() method returns a truly unique identifier for each object, rather than a hash value that could potentially collide"
Data Types,"The increment and decrement operators can be used with strings, similar to how they are used with characters"
Loops,"The leap of faith approach to recursion means ignoring the details of recursion entirely, rather than using it as a tool to understand recursive calls"
Methods,The length of an array is accessed like a method with parentheses
Objects & Classes,The location of an object reference (local vs. instance) affects where the object itself is stored
Loops,"The method 'prod' calculates the product of all numbers between 'm' and 'n', but they may not understand how recursion is used to achieve this"
Methods,"The method name case (e.g., displayinvitation vs. displayInvitation) does not matter in Java, leading to confusion"
Control Flow,"The methods in the Object class are automatically overridden in subclasses, rather than understanding that they must be explicitly overridden if different behavior is desired"
Misc,"The order of adding panels to the content pane directly determines their position in a grid layout, without understanding the role of the GridLayout manager"
Control Flow,"The popularity of Java means it is the easiest language to learn or the best starting point for all new programmers, without considering individual learning goals or the context of different programming environments"
Methods,"The power method can only be implemented recursively, not understanding that it can also be implemented iteratively"
Misc,The property tax rate is applied to the actual value of the property instead of the assessment value
Data Types,"The return type of the implemented method must be exactly the same as the abstract method, rather than just compatible"
Methods,"The setDefaultCloseOperation method can only take JFrame.EXIT_ON_CLOSE as an argument, not realizing there are multiple options like HIDE_ON_CLOSE"
Methods,"The setSize method is always necessary to set the window size, not realizing that the pack method can automatically size the window"
Loops,"The setVisible(true) method is optional for displaying the window, but it is necessary to make the window appear"
GUI,"The size of the window affects the layout manager's behavior in terms of component placement and stretching, but the layout manager's rules are consistent regardless of window size"
Loops,"The toString() method automatically formats the output, but it must be explicitly overridden to provide meaningful output"
Control Flow,"The toString() method automatically includes all fields of the class, not understanding that it needs to be explicitly defined to include specific fields"
Data Types,"The toString() method is automatically overridden in all subclasses, not understanding that it needs to be explicitly overridden to provide meaningful output"
Misc,The width of a JTextField is measured in pixels rather than columns
Data Types,"There are only three types of programming languages, potentially overlooking other language types"
Loops,"They can use a single constructor to handle both cases of having a parameter and not having one, without understanding the need for overloading constructors"
Methods,"They need to implement all methods in the subclass, not realizing that inherited methods can be used as-is"
Loops,"Typing 'public' and 'abstract' for interface methods is necessary, when it is actually optional"
Loops,"Using Math.pow is necessary for squaring numbers, not realizing simpler multiplication can be used"
Loops,Using an IDE is optional and not necessary for Java development because the book primarily uses command-line tools
JShell & Tools,"Using an IDE is unnecessary since they can compile Java programs using the command line, not understanding the additional benefits IDEs offer"
Data Types,Using println directly on an array will display its elements rather than its reference
Control Flow,"Using the instanceof operator is unnecessary if they are confident about the object's type, not realizing the risk of ClassCastException"
Control Flow,Using the same action listener class for multiple buttons means they cannot differentiate which button was clicked without additional methods
Loops,"Using the wildcard format to import multiple classes works with custom packages, but it only works with built-in packages"
Loops,Variables declared in the initializer of a for loop can be accessed outside the loop
Control Flow,"When an object is retrieved from an ArrayList<Object>, it retains its specific type without needing a cast"
Control Flow,"When an object is stored in an ArrayList<Object>, it loses its specific type and cannot be cast back to its original type"
Objects & Classes,You can assign a Parent object to a Child reference
Methods,Ad-hoc polymorphism refers to overloading and inclusion polymorphism refers to using a superclass as a method parameter
Methods,"Overloading with overriding, thinking they are the same concept"
Methods,"Overloading with overriding, thinking they can overload an abstract method instead of overriding it"
Objects & Classes,Having an instance variable implies inheritance
Data Types,"The concept of a class 'is a' relationship with inheritance and interface implementation, not understanding the distinction between class inheritance and interface implementation"
Objects & Classes,Attributes belong to objects and are accessed using dot notation
Misc,The 'x' is optional
Misc,The mathematical symbol '!' (factorial) with the Java operator '!' (not)
Methods,"The method name 'createEmtpyBorder' with 'createEmptyBorder', leading to syntax errors"
Data Types,"The use of 'extends' and 'implements', thinking they can use 'extends' with interfaces or 'implements' with classes"
Control Flow,"The use of 'new' in creating objects with other uses of 'new' in different contexts, leading to misconceptions about object instantiation"
Loops,Students might forget that all methods in an interface must be overridden when implementing the interface
Control Flow,"Students might forget that they need to explicitly call a superclass constructor if the superclass does not have a default constructor, leading to compilation errors"
Objects & Classes,"Students might incorrectly assume that changing a private field to protected in the Die class automatically makes it accessible to any class, rather than just subclasses and classes in the same package"
Data Types,"Students might incorrectly assume that changing the drawing color or pen size in the Painter app is done through typing commands, rather than using radio buttons"
Data Types,Students might incorrectly assume that polymorphism only applies to arrays and not to method arguments and return types
Loops,"Students might incorrectly assume that the error checking for exceeding the number of entries (CollegeEmployees, Faculty, Students) is handled by Java automatically, rather than requiring explicit implementation"
Control Flow,"Students might incorrectly assume that the execution of a lambda expression is always identical to a previous implementation, not considering differences in context or state that could affect the outcome"
Loops,Students might incorrectly assume that the initial guess for the square root approximation must be close to the actual square root for the method to work
Control Flow,"Students might incorrectly assume that the method headers for event listener methods can be freely chosen, not realizing they must match those specified by the corresponding interface"
Methods,"Students might incorrectly assume that the presence of two equals() methods (one in BankAccount and one in Object) means both are accessible in the same way, without understanding method overriding"
Methods,"Students might incorrectly believe that a local variable can be used even when its method is not at the top of the stack, not recognizing that it can only be used when the method is actively running"
Loops,Students might incorrectly believe that a subclass constructor executes before a superclass constructor
Methods,Students might incorrectly believe that the return statement in a value method must always be the last statement in the method
Loops,Students might incorrectly use == to compare strings for content equality instead of using the equals method
Methods,"Students might misconceive that extending a class always requires adding new fields, not realizing that methods can also be overridden or added"
Loops,"Students might misconceive that the compiler's automatic casting means that runtime casting errors are impossible, not recognizing that type safety is enforced at compile time to prevent such errors"
Objects & Classes,"Students might misconceive that the order of 'extends' and 'implements' in the class declaration affects the functionality, rather than being a matter of convention"
Methods,"Dynamic method binding, thinking it doesn't allow a superclass reference to invoke subclass methods"
Objects & Classes,"Objects cannot communicate with each other at all, rather than not knowing each other's implementation details"
Data Types,The reference type and object type must always be the same
Loops,"It requires every subclass to have completely distinct methods, rather than allowing for shared methods where appropriate"
Loops,"Java Micro Edition (Java ME) is only for smartwatches and similar devices, not realizing its broader application in various embedded devices"
Data Types,"A class can extend multiple classes, not realizing that Java only allows a class to extend one class but implement multiple interfaces"
Objects & Classes,"A class can only be abstract or concrete universally, rather than contextually depending on the application"
GUI,A layout manager is optional when designing a GUI application
Methods,"A method's stack frame is removed from the stack only when the method reaches its closing curly brace, not when a nested method call within it completes"
Control Flow,"A subclass without a constructor can compile even if the superclass requires constructor arguments, not realizing that the subclass must provide a constructor to pass arguments to the superclass"
Control Flow,"Adding components to a container with a layout manager like FlowLayout will automatically handle all spacing and alignment, not realizing that additional configuration might be necessary for specific layout needs"
Methods,"All fields in a class must have both get and set methods, not realizing that some fields can be read-only or write-only"
Objects & Classes,"All members of a superclass are inherited by subclasses, not realizing that access levels can restrict inheritance"
Control Flow,"Bytecode verification only checks for security issues, not realizing it also ensures correctness of the bytecode"
Methods,"Calling inherited methods without an object reference and a dot is unique to inherited methods, rather than understanding it's because they are being called within the context of the current object"
Loops,"Creating a custom panel by extending JPanel is only for advanced applications, rather than a useful technique for organizing code even in simpler applications"
Loops,"Exception handling is only for errors, not appreciating it can handle unexpected conditions as well"
Loops,"Extending JFrame automatically provides all necessary functionality for a GUI application, without needing additional components or customization"
Loops,"Implementing an interface means inheriting method implementations, when in fact, it requires providing concrete implementations for all abstract methods declared in the interface"
Control Flow,"Inheritance allows for creating programs that could not be written otherwise, rather than just simplifying the process"
Objects & Classes,"Instance variables are always initialized with meaningful default values, not realizing that primitives are initialized to 0/0.0/false and references to null"
Objects & Classes,"Instantiation is a one-time process, not realizing that multiple objects can be instantiated from the same class"
Control Flow,Modifying an object within a method does not affect the original object outside the method
Objects & Classes,"Object-oriented programming is a feature unique to modern languages, not realizing that many older languages have been updated to include object-oriented capabilities"
Misc,"Output is only visual or auditory, not recognizing that it can also include vibrations, virtual reality, and mixed reality outputs"
Methods,"Passing objects as parameters means the object itself is passed, rather than a reference to the object"
Data Types,"Polymorphism allows any subclass to be used interchangeably with a superclass, without recognizing the importance of the reference type in determining which methods can be called"
Misc,"Secondary storage is not needed when the computer is off, not realizing its role in data persistence"
Misc,"The assessment value of a property is the same as its actual value, rather than a percentage of it"
Loops,"The body of a loop must always change the loop variable, not realizing that other variables or conditions can also influence loop termination"
Control Flow,"The conversion factors (0.6214, 3281.0, 39370.0) are constants and should not be modified for different conversion requirements"
Methods,"The method to set data fields using dialog boxes is automatically provided by Java, rather than needing to be implemented"
Misc,The price in IncomingPhoneCall and OutgoingPhoneCall is automatically calculated without explicitly setting it
Data Types,The printString method should return a value rather than just printing each character on a new line
Loops,"The printTable method with a parameter for rows automatically adjusts the number of columns, not realizing that it initially only changes the number of rows"
Control Flow,"The search method returns -1 for any error, not specifically for a failed search"
Data Types,"The size of an object on the heap is determined by the values of its instance variables, rather than their types"
Loops,"Using 'inRange' with a loop variable as both an index and arguments is efficient, not realizing that it results in multiple traversals of the array"
Control Flow,"Using Object references for objects of other types means those objects lose their specific type methods, not just their type safety"
Exception Handling,Using an index outside the bounds of the array will not cause an error
Loops,"The Ackermann function's recursive nature, thinking it can be easily computed like simple arithmetic functions, without realizing its complexity and potential for large computations"
Misc,"The concept of Turing completeness, thinking it means a language can efficiently solve any problem, rather than just being able to express any algorithm"
Interfaces,"It can never roll a 1, without understanding how the logic is implemented to achieve this behavior"
Methods,"They can contain fields like classes, rather than only constants and abstract methods"
JShell & Tools,"The conversion from natural logarithms to base 2 logarithms, not realizing the need to divide by Math.log(2)"
Control Flow,"The difference between fatal and nonfatal runtime errors, thinking all runtime errors are equally severe"
Control Flow,The difference between hiding and overriding methods
Misc,"All variables, including local variables, live on the heap"
Data Types,"The error message 'Exception in thread """"main"""" java.lang.NoClassDefFoundError: Painter' as an issue with their code, rather than a CLASSPATH configuration problem"
Loops,"The importance of reading error messages carefully, potentially overlooking useful information"
Exception Handling,All exceptions must be explicitly handled in every program
JShell & Tools,"The purpose of JShell, thinking it is related to graphics or visual output because of the references to fractals and lighting effects"
Misc,"The purpose of a ButtonGroup, thinking it does more than just manage the selection state of radio buttons"
Methods,"Any subclass must implement all methods of the parent class, rather than just the abstract ones"
Objects & Classes,"The purpose of anonymous objects, thinking they are less efficient or incorrect compared to named objects"
Control Flow,"The purpose of data encapsulation and information hiding, thinking it is only about preventing access rather than also simplifying class interactions"
Data Types,"The purpose of encapsulation, thinking it only involves wrapping code in a method, rather than understanding it also involves organizing code to improve readability and maintainability"
Loops,"The purpose of getters and setters, thinking they are just for convenience rather than for maintaining encapsulation"
Loops,"The purpose of inheritance, thinking it is only for reusing fields, not methods"
Loops,"The purpose of private inner classes, thinking they are only used for event handling and not for other encapsulation purposes"
Data Types,"The purpose of scaffolding code like print statements, thinking they are part of the final implementation"
Misc,All its contents are at or above their preferred sizes
Control Flow,"The purpose of traversing an array to count elements in a range, thinking it's only applicable to specific examples like exam scores"
Loops,"The role of JAR files, thinking they are just for compression, without realizing they also bundle multiple .class files and resources together for distribution"
JShell & Tools,"The role of a virtual machine, thinking it is just another software application rather than a way to simulate a computer and hide the underlying system"
Loops,"The role of generics, thinking they provide runtime type information or behavior changes, rather than compile-time type safety"
GUI,"The role of logical units in a computer, thinking they are physical components rather than conceptual divisions of computer operations"
Misc,"The role of the JFrame.EXIT_ON_CLOSE constant, thinking it closes the application immediately rather than setting the default close operation"
Methods,"The role of the constructor in an abstract class, thinking it serves no purpose since the class cannot be instantiated, rather than realizing it is used to initialize fields when a subclass is instantiated"
Control Flow,"The role of the default constructor, thinking it initializes instance variables to specific values rather than just providing a no-arg constructor"
Control Flow,"The use of wait(), notify(), and notifyAll() methods, thinking they are simple to use without realizing the complexity of thread synchronization and the potential for issues like deadlocks"
Methods,Students might not realize that each recursive call creates a new instance of the method with its own parameters and local variables
Objects & Classes,"Students might not realize that when two variables refer to the same object, changes made through one variable are reflected when accessing the object through the other variable"
Loops,"Students might not understand how the return values are used in recursion, especially how they are multiplied together in the case of factorial"
Objects & Classes,"Students might not understand that aliasing occurs when two variables refer to the same object, leading to unexpected changes in object state"
Loops,"Students might not understand that for a method to be a valid override, the return type must be compatible with the superclass version’s return type"
Control Flow,Students might not understand the implications of modifying a superclass to include specific behaviors that are not applicable to all subclasses
Loops,"Students might not understand the importance of a base case in recursion and could forget to implement it, leading to infinite recursion"
Control Flow,"A recursive definition is the same as a circular definition, not understanding the difference between useful recursion and useless circularity"
Control Flow,"ArrayList<Dog> creates a special class specifically for Dog objects, rather than understanding that it is a generic type with type safety enforced by the compiler"
Data Types,"BigIntegers can be used with usual math operators like +, -, *, /"
Control Flow,"Java SE 9 is completely different from Java SE 8, not realizing that the book is designed to be used with both versions interchangeably"
Loops,"Java is the only language used for Internet-based applications and network communication, overlooking the variety of languages that can be used for these purposes"
Misc,"Math.log computes logarithms in base 10, when it actually computes natural logarithms (base e)"
Control Flow,"Scene Builder is necessary for all JavaFX projects, not realizing it's just a tool to simplify GUI creation"
Objects & Classes,"UML class diagrams represent the state of objects at runtime, rather than the structure of classes at compile-time"
Data Types,"Windows was the first graphical user interface operating system, not realizing it borrowed concepts from Xerox PARC and Apple Macintosh"
Data Types,"A class can only implement one interface, when it can implement multiple interfaces"
Loops,"A class implementing an interface does not need to provide implementations for all of the interface's methods, when in fact it must implement all of them"
Data Types,"A class itself is an object, rather than understanding that a class is a blueprint from which objects are instantiated"
Loops,"A class placed in a package for others to use must be protected to hide source code, but it must actually be public"
Loops,"A computer can only have one CPU, not understanding that many modern computers have multiple CPUs for parallel processing"
Methods,A constructor can be called like a regular method from outside the class
Methods,"A constructor must always initialize all instance variables, not realizing that instance variables have default values"
Loops,"A local variable can be accessed by other methods while it is alive, not understanding that it can only be accessed within its own method"
Methods,A method with the same name as the class is automatically a constructor
Misc,A multicore processor means multiple separate processors rather than multiple cores on a single chip
Loops,"A no-arg constructor should always be provided, even when it doesn't make sense for the class"
Objects & Classes,A reference is the same as an object
JShell & Tools,"A single letter cannot be a palindrome, misunderstanding the definition provided"
Control Flow,"A subclass automatically makes sense if it inherits useful code, without evaluating the logical relationship between the subclass and superclass"
Loops,A subclass constructor executes before the superclass constructor when creating a subclass object
Control Flow,"A subclass does not need a constructor if the superclass has one, not realizing that if the superclass constructor requires arguments, the subclass must explicitly call it"
Data Types,Abstract classes cannot be used as reference types
Collections & Generics,Accessing an array element at index a.length is valid
Misc,Adding radio buttons to a ButtonGroup automatically adds them to a visible container like a JPanel
Control Flow,"All APIs are free to use, as the text mentions 'often free' complementary web services without clarifying that some APIs may require payment or have usage restrictions"
Data Types,"All data types in Java are objects, not understanding the distinction between primitive types (like int, double, and boolean) and object types"
Exception Handling,All exceptions are bad and indicate a problem with the program
Control Flow,"All forms of input are equally easy for a computer to process, not understanding that different input types require different processing techniques and complexities"
Methods,"All methods in an abstract class must be abstract, but an abstract class can have a mix of abstract and non-abstract methods"
Methods,"All methods in the Object class can be overridden, not realizing that some are marked final and cannot be changed"
Control Flow,"All methods must be overridden in subclasses, not understanding that only specific methods that require unique behavior need to be overridden"
Loops,"All object initialization should be done outside of the constructor, not understanding that constructors are designed for initialization"
Loops,"Alpha software is only released to developers, not realizing it can also be released to select users for feedback"
Objects & Classes,An abstract class can be instantiated directly
Methods,An abstract class cannot inherit abstract methods from another abstract class without implementing them
Loops,An abstract class is only used for creating subclasses and cannot have any functionality of its own
Data Types,An anonymous inner class can be used interchangeably with lambda expressions without understanding that lambda expressions require a functional interface
Data Types,An empty string and an empty array are the same thing
Data Types,"An interface can have private or non-final data fields, not realizing that all fields in an interface are public, static, and final by default"
Objects & Classes,"Anonymous inner classes can be instantiated on their own, not realizing they must be defined within another class"
Objects & Classes,"Any two related classes should use inheritance, even when a HAS-A relationship is more appropriate"
Control Flow,"Assigning a variable of one type to a variable of another type is always called promotion, implicit conversion, or upcasting, without understanding the specific context where these terms apply"
Control Flow,"Assigning an Object type to a specific type reference (e.g., Dog) does not require explicit casting"
Collections & Generics,Assigning one array variable to another copies the array elements rather than just the reference
Methods,"Calling JFrame's setBackground method will change the background color of the content pane, but it won't"
Control Flow,"Calling System.exit(0) is the only way to close a GUI application, not realizing there are other methods to manage application lifecycle"
Data Types,Calling the parent class's toString() method is optional when overriding it in a subclass
Methods,Changes to a primitive parameter inside a method affect the original variable in the calling method
Collections & Generics,Changing one variable will not affect the other when both variables refer to the same array
Control Flow,"Changing the printRow call to printRow(i, i) in printTable will always produce a triangular multiplication table, not realizing it specifically depends on the logic of the loop and the parameters passed"
Data Types,"Characters are stored directly as letters or symbols, not realizing they are represented as patterns of 1s and 0s"
Data Types,Command-line arguments are automatically converted to integers when passed to the main method
Methods,"Commenting out the @Override annotation makes the method override a parent class method, which is incorrect"
Misc,"Compiling and running the program after every small change is unnecessary, not understanding the benefits of incremental development"
Methods,Components are automatically added to a JPanel without explicitly calling the add method
Data Types,"Components in a GridLayout can maintain their original size, but they are actually resized to fill the entire cell"
Methods,"Constructors in Java can have optional parameters, but Java does not support optional parameters in constructors"
Objects & Classes,"Creating a new object with 'new' always requires storing it in a variable, not realizing it can be used directly as an anonymous object"
Methods,Creating a subclass constructor is only necessary when the superclass does not have a default constructor
GUI,"Creating a window is a single-step process, not understanding that it involves multiple steps and components"
Loops,"Creating an array of objects in Java constructs the objects themselves, not understanding that it actually creates space for references to objects"
Methods,Data field definitions can precede the super() statement in a subclass constructor
Loops,Declaring a class as abstract automatically provides implementations for its methods
Methods,"Declaring a class as abstract means it cannot have any methods implemented, when in fact it can have both abstract and non-abstract methods"
Objects & Classes,"Declaring a reference variable and creating an object are the same step, not realizing these are distinct steps in object-oriented programming"
Objects & Classes,Defining a class automatically creates an object of that class
Data Types,"Diagnostic messages displayed using System.out.println will interfere with the GUI, not understanding that they are sent to the console and do not affect the GUI windows"
Methods,"Dynamic method binding means that the method is chosen at compile time rather than at runtime, not understanding the concept of late binding"
Control Flow,"Each specific type of object (e.g., Dog, Cat) requires its own separate list class, not understanding the concept of polymorphism"
Control Flow,"Event listeners are automatically created for all events, rather than needing to be explicitly defined for each specific event"
GUI,Event listeners automatically handle events without needing to be explicitly connected to source components
Control Flow,"Every class in Java must explicitly extend another class, not realizing that if a class does not explicitly extend another class, it automatically extends the Object class"
Loops,Exception handling is optional and not necessary for writing robust programs
Data Types,"Exceptions are only related to user input or arithmetic operations, overlooking other types like IOExceptions"
Exception Handling,"Exceptions must always be handled immediately, rather than allowing the program to terminate"
Methods,"Failing to override hashCode() will always lead to noticeable problems in all programs, not just in complex ones using hash-based methods"
Control Flow,"Getters and setters are unnecessary if they can access instance variables directly, not understanding the importance of encapsulation"
Methods,Having multiple constructors with the same argument list is allowed
Control Flow,"If a class does not explicitly define a toString() method, it cannot use one, not realizing that it inherits from Object"
Control Flow,"If a class overrides methods from its superclass, it changes the IS-A relationship"
Control Flow,"If a subclass does not define a constructor, no constructor is executed at all, overlooking the implicit call to the superclass's no-argument constructor if it exists"
Control Flow,"If they write a constructor with arguments, the compiler will automatically provide a no-arg constructor"
Methods,Implementing an abstract method means just declaring it again in the subclass without providing a body
Control Flow,"Implementing an interface automatically provides method implementations, rather than requiring the class to define the methods specified in the interface"
Loops,"Implementing an interface is optional for a class that declares it, not understanding that it is a contract that must be fulfilled"
Loops,"Importing a class automatically creates an instance of that class, rather than just making the class available for use"
Control Flow,"Inheritance implies that subclasses are always more specific versions of their superclass, not considering that some subclasses might not need to override any methods if the superclass behavior is sufficient"
Objects & Classes,"Inheritance is the only way to create a JFrame, not realizing that you can also simply instantiate a JFrame object"
Loops,"Initializing a variable to zero before a loop is unnecessary, not realizing it's crucial for accumulators"
Objects & Classes,"Instanceof can only be used with directly related classes, not realizing it works with any class in the hierarchy"
Data Types,"Integer division by zero is allowed in Java, similar to floating-point division by zero"
Data Types,"Interface methods can have implementation code, when in fact they cannot"
Loops,"Interfaces are optional and not necessary for designing flexible and extensible systems, underestimating their importance in Java"
Data Types,"Interfaces can contain non-public, non-static, or non-final data items, which is incorrect as all data items in an interface are implicitly public, static, and final"
Data Types,Interfaces can have constructors because they confuse them with abstract classes
Control Flow,"Interfaces dictate how methods should be implemented, rather than just specifying what methods should be available"
Data Types,"Interfaces provide multiple inheritance in the same way as classes, not understanding that interfaces only provide method signatures without implementation"
Data Types,"Interpreters always avoid the delay of compilation, not realizing that interpreted programs can run slower than compiled ones"
Data Types,"Lambda expressions can only be used with interfaces that have exactly one method, not realizing that they can be used with functional interfaces, which are interfaces with a single abstract method"
